ts,stationcode,name,arrdt,lat,lon,bikes,docks,mechanical,ebikes
2025-08-24T13:38:50Z,16107,Benjamin Godard - Victor Hugo,Paris,48.865983,2.275725,2,33,0,2
2025-08-24T13:38:50Z,9020,Toudouze - Clauzel,Paris,48.87929591733507,2.3373600840568547,1,20,0,1
2025-08-24T13:38:50Z,14014,Jourdan - Stade Charléty,Paris,48.819428333369,2.3433353751898,27,31,19,8
2025-08-24T13:38:50Z,32017,Basilique,Saint-Denis,48.93626891059109,2.3588666820200914,15,7,7,8
2025-08-24T13:38:50Z,11104,Charonne - Robert et Sonia Delaunay,Paris,48.855907555969,2.3925706744194,0,20,0,0
2025-08-24T13:38:50Z,6003,Saint-Sulpice,Paris,48.85165383178419,2.3308077827095985,20,1,14,6
2025-08-24T13:38:50Z,7002,Vaneau - Sèvres,Paris,48.848563233059,2.3204218259346,12,23,6,6
2025-08-24T13:38:50Z,33006,André Karman - République,Aubervilliers,48.91039875761846,2.3851355910301213,3,27,1,2
2025-08-24T13:38:50Z,42016,Pierre et Marie Curie - Maurice Thorez,Ivry-sur-Seine,48.81580226360801,2.376804985105991,4,23,3,1
2025-08-24T13:38:50Z,25006,Place Nelson Mandela,Rueil-Malmaison,48.862453313908,2.1961666225454,1,21,0,1
2025-08-24T13:38:50Z,30002,Jean Rostand - Paul Vaillant Couturier,Bobigny,48.908168131015,2.4530601033354,30,10,2,28
2025-08-24T13:38:50Z,5016,Thouin - Cardinal Lemoine,Paris,48.84504716661511,2.3494647851273465,6,11,2,4
2025-08-24T13:38:50Z,11025,Froment - Bréguet,Paris,48.8570414504784,2.37289470306807,29,13,19,10
2025-08-24T13:38:50Z,17026,Jouffroy d'Abbans - Wagram,Paris,48.881973298352,2.301132157445,8,32,5,3
2025-08-24T13:38:50Z,12109,Mairie du 12ème,Paris,48.840855311763,2.3875549435616,15,15,15,0
2025-08-24T13:38:50Z,8050,Boétie - Ponthieu,Paris,48.871417284355,2.3076787590981,4,39,2,2
2025-08-24T13:38:50Z,13101,Croulebarde - Corvisart,Paris,48.830981659316855,2.3481646925210953,0,34,0,0
2025-08-24T13:38:50Z,14108,Le Brix et Mesmin - Jourdan,Paris,48.82234096593411,2.327861653302471,5,16,3,2
2025-08-24T13:38:50Z,31024,Romainville - Vaillant-Couturier,Montreuil,48.86785,2.446748,3,34,0,3
2025-08-24T13:38:50Z,17044,Porte de Saint-Ouen - Bessières,Paris,48.89792240854517,2.32851451022192,6,36,3,3
2025-08-24T13:38:50Z,17025,Chazelles - Courcelles,Paris,48.879406604954,2.3034455627202988,3,32,3,0
2025-08-24T13:38:50Z,20143,Ramponeau - Belleville,Paris,48.871031137596,2.379056852114,6,38,2,4
2025-08-24T13:38:50Z,16138,Saint-Cloud - Hippodrome,Paris,48.85772148887421,2.2549109905958176,7,21,0,7
2025-08-24T13:38:50Z,21216,Louis Lejeune - Barbès,Montrouge,48.81807418981508,2.3267009854316716,1,24,0,1
2025-08-24T13:38:50Z,15068,Général Martial Valin - Pont du Garigliano,Paris,48.83823094269141,2.270506024360657,9,6,5,4
2025-08-24T13:38:50Z,22207,Rond-point du Dr Albert Schweitzer,Bagneux,48.78980918988166,2.3143940046429634,5,17,4,1
2025-08-24T13:38:50Z,17048,De Toqueville - Terrasse,Paris,48.882428,2.314002,2,26,0,2
2025-08-24T13:38:50Z,44010,8 Mai 1945 - 10 Juillet 1940,Vitry-sur-Seine,48.784567029674,2.3979035764933,20,10,9,11
2025-08-24T13:38:50Z,9008,Tour d'Auvergne - Rodier,Paris,48.879161,2.343698,2,15,1,1
2025-08-24T13:38:50Z,14013,Liard - Amiral Mouchez,Paris,48.8214169,2.342167,14,13,7,7
2025-08-24T13:38:50Z,13118,Regnault - Patay,Paris,48.82435782216384,2.377065159380436,61,1,56,5
2025-08-24T13:38:50Z,15112,Vigée-Lebrun - Anselme Payen,Paris,48.838683941628375,2.3110422492027287,3,21,0,3
2025-08-24T13:38:50Z,13030,Italie - Tolbiac,Paris,48.82557229464416,2.3576171323657036,1,19,0,1
2025-08-24T13:38:50Z,44015,Rouget de L'isle - Watteau,Vitry-sur-Seine,48.778192750803,2.3963020229163,18,2,7,11
2025-08-24T13:38:50Z,9001,Bellefond - Poissonnière,Paris,48.87759897050706,2.348463758826256,1,15,1,0
2025-08-24T13:38:50Z,17032,Jean Oestreicher - Porte de Champerret,Paris,48.88655580065981,2.288640439510346,4,17,2,2
2025-08-24T13:38:50Z,8016,Square Louis XVI,Paris,48.87320440102894,2.323658830743138,4,25,2,2
2025-08-24T13:38:50Z,10029,Dunkerque - Rocroy,Paris,48.880726,2.351464,3,20,1,2
2025-08-24T13:38:50Z,10161,Gare de l'Est - Faubourg-Saint-Martin,Paris,48.875642647477,2.3594588041306,15,17,4,11
2025-08-24T13:38:50Z,12031,Gabriel Lamé,Paris,48.8351212784276,2.385534569621086,33,3,24,9
2025-08-24T13:38:50Z,1001,Quai de l'Horloge - Pont Neuf,Paris,48.857058739111,2.3417982839439,16,1,10,6
2025-08-24T13:38:50Z,5022,Boulangers - Cardinal Lemoine,Paris,48.8462904,2.3521495,14,6,3,11
2025-08-24T13:38:50Z,9038,Douai - Bruxelles,Paris,48.88320784122797,2.3308449949028507,1,26,1,0
2025-08-24T13:38:50Z,31103,Gare Rosny-Bois-Perrier,Rosny-sous-Bois,48.88115023337061,2.480436824262142,26,9,13,13
2025-08-24T13:38:50Z,17008,Porte Pouchet-Bessières,Paris,48.8978765,2.3230632,4,19,0,4
2025-08-24T13:38:50Z,7018,Ségur - d'Estrées,Paris,48.851419978983,2.3097044974566,11,8,8,3
2025-08-24T13:38:50Z,5005,Gay Lussac - Saint-Jacques,Paris,48.844730256132,2.3419239448664,1,41,0,1
2025-08-24T13:38:50Z,21323,Charlot - Stade Gabriel Voisin,Issy-les-Moulineaux,48.827228120536,2.268122527474,15,16,14,1
2025-08-24T13:38:50Z,8053,Place Georges Guillaumin,Paris,48.874750203957,2.301771435326,11,18,4,7
2025-08-24T13:38:50Z,9014,Faubourg Montmartre - La Fayette,Paris,48.875254549053,2.3408536612988,6,25,5,1
2025-08-24T13:38:50Z,9106,Boudreau - Auber,Paris,48.87219,2.329423,13,15,3,10
2025-08-24T13:38:50Z,19105,Ambroise Rendu - Porte Brunet,Paris,48.883667,2.395733,1,16,0,1
2025-08-24T13:38:50Z,9022,Rossini - Laffitte,Paris,48.87334627510507,2.337980867701675,7,26,5,2
2025-08-24T13:38:50Z,17004,Legendre - Clichy,Paris,48.88896161855884,2.322528975094376,0,40,0,0
2025-08-24T13:38:50Z,19003,Quai de la Seine,Paris,48.884492238407525,2.3703941702842717,11,13,3,8
2025-08-24T13:38:50Z,5020,Institut du Monde Arabe - Saint-Germain,Paris,48.849063299501,2.3558086529374,39,1,26,13
2025-08-24T13:38:50Z,92007,Pesaro - Préfecture,Nanterre,48.89577046284005,2.223908342421055,8,14,2,6
2025-08-24T13:38:50Z,16026,Ranelagh - Mozart,Paris,48.8554439,2.2704418,4,19,2,2
2025-08-24T13:38:50Z,9028,Moncey - Blanche,Paris,48.88006587474148,2.3310810327529907,1,16,0,1
2025-08-24T13:38:50Z,10107,Gare du Nord - Hôpital Lariboisière,Paris,48.881949,2.352339,11,38,9,2
2025-08-24T13:38:50Z,17043,Belidor - Gouvion-Saint-Cyr,Paris,48.88022154052015,2.2854680567979813,25,14,22,3
2025-08-24T13:38:50Z,16039,Exelmans - Versailles,Paris,48.84097491091973,2.264390252530575,15,32,15,0
2025-08-24T13:38:50Z,11023,Saint-Maur - Roquette,Paris,48.858688774062955,2.383553994571467,3,43,0,3
2025-08-24T13:38:50Z,12111,Claude Decaen - Cannebière,Paris,48.83761417037952,2.397253782195704,2,43,0,2
2025-08-24T13:38:50Z,8034,Berri - Haussmann,Paris,48.874746047357135,2.3082953318953514,2,33,1,1
2025-08-24T13:38:50Z,11047,Amelot - Saint-Sébastien,Paris,48.861142162761,2.3677996181077,11,18,7,4
2025-08-24T13:38:50Z,18107,Chartres - La Charbonnière,Paris,48.8847601,2.3534657,1,32,0,1
2025-08-24T13:38:50Z,16108,Sablons - Georges Mandel,Paris,48.863875,2.28189,7,31,4,3
2025-08-24T13:38:50Z,17030,Pereire - Rennequin,Paris,48.88364782887555,2.2952447086572647,3,20,3,0
2025-08-24T13:38:50Z,6006,Notre-Dame-des-Champs - Stanislas,Paris,48.84479928858768,2.329337755887181,14,5,6,8
2025-08-24T13:38:50Z,11027,Saint-Ambroise - Parmentier,Paris,48.862147844548,2.3772348091006,11,27,6,5
2025-08-24T13:38:50Z,12128,Pyramide - Ecole du Breuil,Paris,48.82237977153955,2.4586871266365056,1,33,0,1
2025-08-24T13:38:50Z,31022,Mairie de Montreuil,Montreuil,48.86131452758348,2.440614402294159,11,38,2,9
2025-08-24T13:38:50Z,10016,Récollets - Square Villemin,Paris,48.875034655883944,2.359801238597928,4,13,2,2
2025-08-24T13:38:50Z,31009,Place Du Général De Gaulle,Montreuil,48.8687591,2.4329931,0,26,0,0
2025-08-24T13:38:50Z,18011,Pajol - Place Herbert,Paris,48.8927825,2.3635598,5,33,0,5
2025-08-24T13:38:50Z,42706,Roger Salengro - Fontainebleau,Le Kremlin-Bicêtre,48.814548697325,2.3611663654447,3,21,0,3
2025-08-24T13:38:50Z,21212,Marne - Germain Dardan,Montrouge,48.81217465201,2.3035024699104,1,21,0,1
2025-08-24T13:38:50Z,44006,Concorde - Stalingrad,Vitry-sur-Seine,48.7985844,2.3821302,26,9,6,20
2025-08-24T13:38:50Z,19120,Carducci - Place Hannah Arendt,Paris,48.877436681515796,2.3860743641853337,1,26,1,0
2025-08-24T13:38:50Z,15104,Hôpital Européen Georges Pompidou,Paris,48.837695319163,2.2753742337227,28,35,21,7
2025-08-24T13:38:50Z,14138,Porte de Vanves,Paris,48.828012849445,2.3056878894567,2,30,0,2
2025-08-24T13:38:50Z,41209,Cimetière de Fontenay-sous-Bois,Fontenay-sous-Bois,48.84706173362218,2.4787822365760808,3,12,0,3
2025-08-24T13:38:50Z,21312,Lucie Aubrac - Fort,Issy-les-Moulineaux,48.818144834008976,2.271184623241425,2,28,0,2
2025-08-24T13:38:50Z,14008,Mouton Duvernet - Général Leclerc,Paris,48.831632518293,2.3293121159077,7,20,1,6
2025-08-24T13:38:50Z,8017,Rocher - Laborde,Paris,48.87590240712654,2.322616316378116,8,57,2,6
2025-08-24T13:38:50Z,18046,Etienne Jodelle - Saint Ouen,Paris,48.88794016394694,2.326124420314341,3,29,0,3
2025-08-24T13:38:50Z,22406,Guy Môquet - Etienne Dolet,Malakoff,48.81527009991819,2.298078276995073,9,14,2,7
2025-08-24T13:38:50Z,14012,Sibelle - Alésia,Paris,48.826701758539215,2.3384983465075493,4,33,2,2
2025-08-24T13:38:50Z,14124,David Weill - Parc Montsouris,Paris,48.821092374256104,2.333725690841675,12,10,4,8
2025-08-24T13:38:50Z,15133,Saint Lambert - Blomet,Paris,48.83659148147257,2.2930556908249855,5,21,3,2
2025-08-24T13:38:50Z,15110,Place Robert Guillemard,Paris,48.836191728066666,2.2811267160086417,4,20,3,1
2025-08-24T13:38:50Z,21006,Marcelin Berthelot,Boulogne-Billancourt,48.8415473058801,2.233161628246308,8,19,4,4
2025-08-24T13:38:50Z,44013,Edouard Tremblay - Julian Grimaux,Vitry-sur-Seine,48.781383825117,2.3723508417606,1,29,0,1
2025-08-24T13:38:50Z,19210,Place des Fêtes - Solitaires,Paris,48.876644633122,2.3920327806309,0,29,0,0
2025-08-24T13:38:50Z,48010,Karl Marx,Villejuif,48.784527937293184,2.3646667979455587,0,16,0,0
2025-08-24T13:38:50Z,42021,Raspail - Manufacture des Oeillets,Ivry-sur-Seine,48.8094458,2.3903009,14,18,5,9
2025-08-24T13:38:50Z,31003,Paris - Emile Zola,Montreuil,48.854898095789295,2.4186685681343083,4,26,2,2
2025-08-24T13:38:50Z,6025,Assas - Rennes,Paris,48.8492084999386,2.32851454623001,11,21,10,1
2025-08-24T13:38:50Z,11030,Oberkampf - République,Paris,48.86531608707,2.37611478491,5,19,4,1
2025-08-24T13:38:50Z,11039,Richard Lenoir - Jean-Pierre Timbaud,Paris,48.865804276686,2.3693370749669,36,0,32,4
2025-08-24T13:38:50Z,17013,Legendre - Dulong,Paris,48.885325169402904,2.316423766314984,3,20,2,1
2025-08-24T13:38:50Z,11026,Chemin Vert - Saint-Maur,Paris,48.86112461407359,2.381299026310444,11,34,6,5
2025-08-24T13:38:50Z,19024,Botzaris - Parc des Buttes Chaumont,Paris,48.877951,2.381464,6,14,0,6
2025-08-24T13:38:50Z,41601,Général De Gaulle - Alouette,Saint-Mandé,48.839109,2.4175664,8,18,5,3
2025-08-24T13:38:50Z,23006,Jules Guesde - Alsace,Levallois-Perret,48.890566275506,2.2950777411461,5,18,1,4
2025-08-24T13:38:50Z,15021,Joseph Liouville - Croix Nivert,Paris,48.844835471244416,2.297508493065834,25,40,25,0
2025-08-24T13:38:50Z,9010,Rochechouart lamartine,Paris,48.876719895109,2.344393021854,3,21,1,2
2025-08-24T13:38:50Z,11105,Parmentier - République,Paris,48.8644954,2.3750124,9,14,4,5
2025-08-24T13:38:50Z,17125,Marie-Georges Picquart - Pereire,Paris,48.88863669349711,2.3111706599593163,5,26,4,1
2025-08-24T13:38:50Z,43005,Gare RER de Vincennes,Vincennes,48.847563015126106,2.433383166790009,13,38,3,10
2025-08-24T13:38:50Z,16136,Théophile Gautier - François Millet,Paris,48.85034821320644,2.273029983043671,24,4,24,0
2025-08-24T13:38:50Z,19032,Villette - Belleville,Paris,48.8726877314,2.376461327076,12,35,2,10
2025-08-24T13:38:50Z,21701,Larmeroux - Baudelaire,Vanves,48.816939911292,2.2809894804846,2,26,1,1
2025-08-24T13:38:50Z,16008,Galilée - Kléber,Paris,48.867411865714,2.2907813801148,4,28,1,3
2025-08-24T13:38:50Z,22003,Beffroy,Neuilly-sur-Seine,48.886591074488,2.2613945603371,4,22,2,2
2025-08-24T13:38:50Z,20134,Lieutenant Chauré - Etienne Marey,Paris,48.86746195408435,2.405970990657807,3,17,0,3
2025-08-24T13:38:50Z,24001,Arche - Léonard de Vinci,Courbevoie,48.89790972494496,2.2383723043644914,13,15,1,12
2025-08-24T13:38:50Z,11035,Parmentier - Abel Rabaud,Paris,48.86921273836114,2.371688821240712,4,48,2,2
2025-08-24T13:38:50Z,42010,Mairie d'Ivry-sur-Seine,Ivry-sur-Seine,48.81057120969284,2.3842826485633855,31,22,27,4
2025-08-24T13:38:50Z,46001,Place Paul Eluard,Choisy-le-Roi,48.7672039733195,2.4144977331161503,17,2,14,3
2025-08-24T13:38:50Z,42302,Aristide Briand - Gare de Bagneux,Cachan,48.79387269664978,2.321148812770844,8,13,5,3
2025-08-24T13:38:50Z,9032,Mathurins - Auber,Paris,48.872988840744,2.3294984212276,6,28,3,3
2025-08-24T13:38:50Z,19016,Hautpoul - Jean Jaurès,Paris,48.886393679436,2.3865414544355,3,29,2,1
2025-08-24T13:38:50Z,21104,Madame de Sanzillon - Mozart,Clichy,48.90379820774301,2.3187401890754704,16,6,12,4
2025-08-24T13:38:50Z,11042,Grand Prieuré - Crussol,Paris,48.864660627935,2.3692265531829,12,34,11,1
2025-08-24T13:38:50Z,8025,Miromesnil - La Boétie,Paris,48.873722412917,2.3158480972052,7,28,5,2
2025-08-24T13:38:50Z,13002,Arago - Glacière,Paris,48.83486054775774,2.3445770524322067,4,23,4,0
2025-08-24T13:38:50Z,42301,Gare Arcueil - Cachan,Arcueil,48.799824,2.328171,16,10,8,8
2025-08-24T13:38:50Z,43003,Hôpital Bégin,Vincennes,48.84571672113,2.4272462725639,11,15,6,5
2025-08-24T13:38:50Z,42504,Gare RER de Gentilly,Gentilly,48.814280450380224,2.3410347104072575,4,26,0,4
2025-08-24T13:38:50Z,26013,Quai du docteur Dervaux,Asnières-sur-Seine,48.910482,2.297998,10,16,10,0
2025-08-24T13:38:50Z,20043,Charonne - Avron,Paris,48.851602665222,2.3984030470379,3,24,2,1
2025-08-24T13:38:50Z,42015,Place Jean Ferrat,Ivry-sur-Seine,48.8184945213025,2.3744174838066106,4,21,1,3
2025-08-24T13:38:50Z,32016,Place de la Porte de Paris,Saint-Denis,48.93009363207303,2.3564037680625916,5,33,0,5
2025-08-24T13:38:50Z,31010,Stalingrad - Désiré Chevalier,Montreuil,48.85670169739857,2.445072233676911,3,39,0,3
2025-08-24T13:38:50Z,11004,Charonne - Faubourg Saint-Antoine,Paris,48.852191909696,2.3740932717919,11,22,6,5
2025-08-24T13:38:50Z,51004,Général Delambre - Prebuard,Argenteuil,48.93870344444,2.2234171606307,8,21,2,6
2025-08-24T13:38:50Z,14036,Boulard - Daguerre,Paris,48.83446472680611,2.3293386027216907,8,37,5,3
2025-08-24T13:38:50Z,19205,Simon Bolivar - Henri Turot,Paris,48.877475489801,2.3739709492211,1,21,0,1
2025-08-24T13:38:50Z,5123,Saint-Germain - Thenard,Paris,48.850571,2.3471015,29,0,17,12
2025-08-24T13:38:50Z,31203,Henri Barbusse,La Courneuve,48.932092978246,2.3982878482409,0,0,0,0
2025-08-24T13:38:50Z,19008,Flandre - Alphonse Karr,Paris,48.89465,2.381868,10,16,0,10
2025-08-24T13:38:50Z,23009,Anatole France - Louise Michel,Levallois-Perret,48.88873214926474,2.2881576418876652,3,47,0,3
2025-08-24T13:38:50Z,12027,Montgallet - Charenton,Paris,48.842647778701,2.3861649278137,5,11,4,1
2025-08-24T13:38:50Z,42029,Stalingrad - Germaine Tailleferre,Ivry-sur-Seine,48.80257200481316,2.3786691203713417,12,16,1,11
2025-08-24T13:38:50Z,21313,Guynemer - Séverine,Issy-les-Moulineaux,48.83091743371036,2.2790706530213356,7,17,2,5
2025-08-24T13:38:50Z,26007,Square Gilbert Thomain,Asnières-sur-Seine,48.90717373809284,2.2695400938391685,18,2,4,14
