stationcode,name,arrdt,lat,lon,ts_hour,bikes_mean,bikes_median,docks_mean
1001,Quai de l'Horloge - Pont Neuf,Paris,48.857058739111,2.3417982839439,2025-08-20 15:00:00+00:00,6.0,6.0,11.0
1002,Victoria - Place du Chatelet,Paris,48.857992591527,2.3469167947769,2025-08-20 15:00:00+00:00,21.0,21.0,1.0
1003,Saint-Denis - Rivoli,Paris,48.859059340842,2.3476943001151,2025-08-20 15:00:00+00:00,35.0,35.0,8.0
1006,Grande Truanderie - Saint-Denis,Paris,48.8626302,2.3498075,2025-08-20 15:00:00+00:00,17.0,17.0,14.0
1007,Turbigo - Française,Paris,48.86358858111446,2.3477794602513318,2025-08-20 15:00:00+00:00,16.0,16.0,0.0
1008,Les Halles - Saint-Eustache,Paris,48.86362695901683,2.342623919248581,2025-08-20 15:00:00+00:00,22.0,22.0,10.0
1012,Jean-Jacques Rousseau - Deux Ecus,Paris,48.86297805972131,2.3414635285735126,2025-08-20 15:00:00+00:00,19.0,19.0,2.0
1013,Place du Palais Royal,Paris,48.862382970647,2.3384822532535,2025-08-20 15:00:00+00:00,61.0,61.0,5.0
1014,Rivoli - Musée du Louvre,Paris,48.86364636851945,2.33409583568573,2025-08-20 15:00:00+00:00,17.0,17.0,7.0
1015,Place André Malraux,Paris,48.863925158727,2.3356226831675,2025-08-20 15:00:00+00:00,27.0,27.0,10.0
1016,Thérèse - Opéra,Paris,48.866483514509,2.3344334212238,2025-08-20 15:00:00+00:00,20.0,20.0,4.0
1017,Saint-Honoré - 29 juillet,Paris,48.86557114282421,2.330567417577153,2025-08-20 15:00:00+00:00,19.0,19.0,1.0
1018,Alger - Rivoli,Paris,48.864773553495,2.3294493936128,2025-08-20 15:00:00+00:00,21.0,21.0,0.0
1020,Cambon - Rivoli,Paris,48.866143390992,2.3251800647137,2025-08-20 15:00:00+00:00,27.0,27.0,10.0
1021,Halles - Bourdonnais,Paris,48.860448992575,2.3460162431002,2025-08-20 15:00:00+00:00,15.0,15.0,5.0
1022,Danielle Casanova - Place Vendôme,Paris,48.868266498223,2.3304839059711,2025-08-20 15:00:00+00:00,24.0,24.0,13.0
1023,Saint-Honoré - Musée du Louvre,Paris,48.863443132848,2.3348781846405,2025-08-20 15:00:00+00:00,25.0,25.0,6.0
1024,Coquillière - Louvre,Paris,48.863795909662,2.3425736278296,2025-08-20 15:00:00+00:00,19.0,19.0,2.0
1025,Oratoire - Rivoli,Paris,48.861342760889,2.3400047421455,2025-08-20 15:00:00+00:00,18.0,18.0,0.0
1026,Place du Lieutenant Henri Karcher,Paris,48.86349087172447,2.3400671035051346,2025-08-20 15:00:00+00:00,24.0,24.0,6.0
1102,Française - Etienne Marcel,Paris,48.864053304653766,2.347587011754513,2025-08-20 15:00:00+00:00,37.0,37.0,0.0
1116,Ventadour - Opéra,Paris,48.866810653323,2.3343884482519,2025-08-20 15:00:00+00:00,21.0,21.0,6.0
1117,Pont Neuf - Rivoli,Paris,48.860089892617,2.344057559967,2025-08-20 15:00:00+00:00,25.0,25.0,2.0
1119,Cossonnerie - Sébastopol,Paris,48.86132665908402,2.349419631063938,2025-08-20 15:00:00+00:00,16.0,16.0,8.0
1120,Lavandieres Sainte Opportune - Rivoli,Paris,48.859279702476,2.3466217517853,2025-08-20 15:00:00+00:00,24.0,24.0,2.0
1201,Perrault - Place du Louvre,Paris,48.860273568996,2.3412468419093,2025-08-20 15:00:00+00:00,27.0,27.0,1.0
2001,Greneta - Sebastopol,Paris,48.865242333228,2.3516669869423,2025-08-20 15:00:00+00:00,27.0,27.0,2.0
2002,Etienne Marcel - Montorgueil,Paris,48.86450567259199,2.346195951104164,2025-08-20 15:00:00+00:00,27.0,27.0,1.0
2003,Saint-Denis - Réaumur,Paris,48.8661116315789,2.3507790675507594,2025-08-20 15:00:00+00:00,23.0,23.0,5.0
2004,Square Pierre Lazareff,Paris,48.867141720746,2.3483933508396,2025-08-20 15:00:00+00:00,13.0,13.0,2.0
2005,Montmartre - Etienne Marcel,Paris,48.86502194581,2.3450684401448,2025-08-20 15:00:00+00:00,16.0,16.0,0.0
2006,Place des Victoires,Paris,48.8660354,2.3420333,2025-08-20 15:00:00+00:00,11.0,11.0,12.0
2008,Mairie du 2ème,Paris,48.8672190355135,2.3404625437747044,2025-08-20 15:00:00+00:00,17.0,17.0,10.0
2009,Filles Saint-Thomas - Place de la Bourse,Paris,48.868899890853,2.3397543845203,2025-08-20 15:00:00+00:00,31.0,31.0,26.0
2010,Uzès - Montmartre,Paris,48.87079098024071,2.3431010171771054,2025-08-20 15:00:00+00:00,22.0,22.0,6.0
2012,Choiseul - Quatre Septembre,Paris,48.869935533187,2.3359975218773,2025-08-20 15:00:00+00:00,5.0,5.0,6.0
2013,Favart - Italiens,Paris,48.871446353921,2.3382901058508,2025-08-20 15:00:00+00:00,7.0,7.0,9.0
2014,Daunou - Louis le Grand,Paris,48.869113,2.332515,2025-08-20 15:00:00+00:00,26.0,26.0,6.0
2015,Louis le Grand - Italiens,Paris,48.870508937204,2.3340544619393,2025-08-20 15:00:00+00:00,27.0,27.0,6.0
