ts,stationcode,name,arrdt,lat,lon,bikes,docks
2025-08-20T15:45:23Z,40001,Hôpital Mondor,Créteil,48.798922410229,2.4537451531298,14,14
2025-08-20T15:45:23Z,32017,Basilique,Saint-Denis,48.93626891059109,2.3588666820200914,7,12
2025-08-20T15:45:23Z,11104,Charonne - Robert et Sonia Delaunay,Paris,48.855907555969,2.3925706744194,1,19
2025-08-20T15:45:23Z,6003,Saint-Sulpice,Paris,48.85165383178419,2.3308077827095985,7,12
2025-08-20T15:45:23Z,7002,Vaneau - Sèvres,Paris,48.848563233059,2.3204218259346,13,22
2025-08-20T15:45:23Z,5110,Lacépède - Monge,Paris,48.84389286531899,2.3519663885235786,7,16
2025-08-20T15:45:23Z,6108,Saint-Romain - Cherche-Midi,Paris,48.84708159081946,2.321374788880348,4,13
2025-08-20T15:45:23Z,33006,André Karman - République,Aubervilliers,48.91039875761846,2.3851355910301213,11,20
2025-08-20T15:45:23Z,40011,Bas du Mont-Mesly,Créteil,48.779035118572,2.4609763908985,26,1
2025-08-20T15:45:23Z,7003,Square Boucicaut,Paris,48.851296433665276,2.325061820447445,23,37
2025-08-20T15:45:23Z,17041,Guersant - Gouvion-Saint-Cyr,Paris,48.88287775178599,2.287667370814871,1,35
2025-08-20T15:45:23Z,5016,Thouin - Cardinal Lemoine,Paris,48.84504716661511,2.3494647851273465,1,16
2025-08-20T15:45:23Z,15047,Morillons - Dantzig,Paris,48.83310149953933,2.299380004405976,2,50
2025-08-20T15:45:23Z,17026,Jouffroy d'Abbans - Wagram,Paris,48.881973298352,2.301132157445,4,35
2025-08-20T15:45:23Z,12109,Mairie du 12ème,Paris,48.840855311763,2.3875549435616,15,14
2025-08-20T15:45:23Z,6021,Beaux-Arts - Bonaparte,Paris,48.856451985396,2.3348518833518,7,11
2025-08-20T15:45:23Z,15202,Bracion - Périphérique,Paris,48.826103771275,2.3004549373748,7,23
2025-08-20T15:45:23Z,42208,Place des Marseillais,Charenton-le-Pont,48.826605522232,2.4059119927899,0,33
2025-08-20T15:45:23Z,31024,Romainville - Vaillant-Couturier,Montreuil,48.86785,2.446748,5,33
2025-08-20T15:45:23Z,17044,Porte de Saint-Ouen - Bessières,Paris,48.89792240854517,2.32851451022192,10,31
2025-08-20T15:45:23Z,19033,Cambrai - Benjamin Constant,Paris,48.89594736851349,2.381133802246315,5,36
2025-08-20T15:45:23Z,21326,Moulin de Pierre - Abbé Grégoire,Issy-les-Moulineaux,48.822036188382,2.2754641655975,6,12
2025-08-20T15:45:23Z,21216,Louis Lejeune - Barbès,Montrouge,48.81807418981508,2.3267009854316716,3,22
2025-08-20T15:45:23Z,22207,Rond-point du Dr Albert Schweitzer,Bagneux,48.78980918988166,2.3143940046429634,6,16
2025-08-20T15:45:23Z,31028,Raspail Barbès,Montreuil,48.8529945,2.4247387,17,10
2025-08-20T15:45:23Z,16118,Michel-Ange - Parent de Rosan,Paris,48.840579923690115,2.2584119439125065,7,18
2025-08-20T15:45:23Z,2017,Caire - Dussoubs,Paris,48.86785342111862,2.349364310503006,30,9
