name,stationcode,ebike,mechanical,coordonnees_geo,duedate,numbikesavailable,numdocksavailable,capacity,is_renting,is_installed,nom_arrondissement_communes,is_returning,code_insee_commune
Benjamin Godard - Victor Hugo,16107,2,4,"[48.865983, 2.275725]",2025-08-18T14:31:08+00:00,6,29,35,OUI,OUI,Paris,OUI,75056
Cassini - Denfert-Rochereau,14111,4,1,"[48.837525839067, 2.3360354080796]",2025-08-18T14:36:40+00:00,5,20,25,OUI,OUI,Paris,OUI,75056
Le Brun - Gobelins,13007,2,8,"[48.835092787824, 2.3534681351338]",2025-08-18T14:35:55+00:00,10,8,48,OUI,OUI,Paris,OUI,75056
Saint-Sulpice,6003,5,14,"[48.85165383178419, 2.3308077827095985]",2025-08-18T14:37:12+00:00,19,2,21,OUI,OUI,Paris,OUI,75056
Saint-Romain - Cherche-Midi,6108,2,3,"[48.84708159081946, 2.321374788880348]",2025-08-18T14:30:41+00:00,5,12,17,OUI,OUI,Paris,OUI,75056
Bas du Mont-Mesly,40011,5,16,"[48.779035118572, 2.4609763908985]",2025-08-18T14:35:11+00:00,21,6,27,OUI,OUI,Créteil,OUI,94028
Silly - Galliéni,21010,2,1,"[48.835583838706, 2.2325500845909]",2025-08-18T14:35:38+00:00,3,22,25,OUI,OUI,Boulogne-Billancourt,OUI,92012
Place Nelson Mandela,25006,3,0,"[48.862453313908, 2.1961666225454]",2025-08-18T14:35:15+00:00,3,19,22,OUI,OUI,Rueil-Malmaison,OUI,92063
Guersant - Gouvion-Saint-Cyr,17041,5,6,"[48.88287775178599, 2.287667370814871]",2025-08-18T14:34:47+00:00,11,25,36,OUI,OUI,Paris,OUI,75056
Froment - Bréguet,11025,6,4,"[48.8570414504784, 2.37289470306807]",2025-08-18T14:33:24+00:00,10,31,43,OUI,OUI,Paris,OUI,75056
Morillons - Dantzig,15047,2,1,"[48.83310149953933, 2.299380004405976]",2025-08-18T14:30:06+00:00,3,49,52,OUI,OUI,Paris,OUI,75056
Mairie du 12ème,12109,5,11,"[48.840855311763, 2.3875549435616]",2025-08-18T14:36:49+00:00,16,14,30,OUI,OUI,Paris,OUI,75056
Beaux-Arts - Bonaparte,6021,2,8,"[48.856451985396, 2.3348518833518]",2025-08-18T14:36:05+00:00,10,10,20,OUI,OUI,Paris,OUI,75056
Place des Marseillais,42208,5,12,"[48.826605522232, 2.4059119927899]",2025-08-18T14:36:49+00:00,17,15,35,OUI,OUI,Charenton-le-Pont,OUI,94018
Croulebarde - Corvisart,13101,1,2,"[48.830981659316855, 2.3481646925210953]",2025-08-18T14:35:05+00:00,3,31,34,OUI,OUI,Paris,OUI,75056
Saint-Fiacre - Poissonière,2022,15,3,"[48.870828911558, 2.3459213599563]",2025-08-18T14:37:20+00:00,18,17,35,OUI,OUI,Paris,OUI,75056
Porte de Saint-Ouen - Bessières,17044,6,9,"[48.89792240854517, 2.32851451022192]",2025-08-18T14:34:19+00:00,15,25,42,OUI,OUI,Paris,OUI,75056
Chazelles - Courcelles,17025,1,0,"[48.879406604954, 2.3034455627202988]",2025-08-18T14:32:47+00:00,1,34,35,OUI,OUI,Paris,OUI,75056
Moulin de Pierre - Abbé Grégoire,21326,2,1,"[48.822036188382, 2.2754641655975]",2025-08-18T14:35:39+00:00,3,16,20,OUI,OUI,Issy-les-Moulineaux,OUI,92040
Lagny - Victor Basch,43002,3,11,"[48.84884147189881, 2.426325418925233]",2025-08-18T14:36:57+00:00,14,11,26,OUI,OUI,Vincennes,OUI,94080
Saint-Cloud - Hippodrome,16138,0,5,"[48.85772148887421, 2.2549109905958176]",2025-08-18T14:34:19+00:00,5,23,30,OUI,OUI,Paris,OUI,75056
Louis Lejeune - Barbès,21216,2,3,"[48.81807418981508, 2.3267009854316716]",2025-08-18T14:36:58+00:00,5,19,25,OUI,OUI,Montrouge,OUI,92049
Général Martial Valin - Pont du Garigliano,15068,5,0,"[48.83823094269141, 2.270506024360657]",2025-08-18T14:35:17+00:00,5,11,16,OUI,OUI,Paris,OUI,75056
Rond-point du Dr Albert Schweitzer,22207,5,9,"[48.78980918988166, 2.3143940046429634]",2025-08-18T14:36:36+00:00,14,8,22,OUI,OUI,Bagneux,OUI,92007
Raspail Barbès,31028,5,5,"[48.8529945, 2.4247387]",2025-08-18T14:36:45+00:00,10,18,28,OUI,OUI,Montreuil,OUI,93048
